,HomeTeam,AwayTeam,HAS,HAC,AAS,AAC,HAtS,AAtS,Result
0,Crystal Palace,Arsenal,0.1136363636363637,0.4814814814814815,1.0,0.07142857142857151,0.00811688311688313,0.4814814814814815,1
1,Fulham,Liverpool,0.34090909090909094,0.7037037037037038,0.7500000000000001,0.5000000000000001,0.1704545454545455,0.5277777777777779,0
2,Bournemouth,Aston Villa,0.09090909090909088,0.6666666666666666,0.29166666666666663,0.3214285714285715,0.02922077922077922,0.19444444444444442,-1
3,Leeds,Wolves,0.2272727272727273,1.0,0.04166666666666663,0.7857142857142857,0.17857142857142858,0.04166666666666663,-1
4,Newcastle,Nott'm Forest,0.4545454545454545,0.14814814814814814,0.0,1.0,0.4545454545454545,0.0,-1
5,Tottenham,Southampton,0.4772727272727273,0.5555555555555557,0.25,0.7142857142857143,0.34090909090909094,0.13888888888888892,-1
6,Everton,Chelsea,0.0,0.6296296296296297,0.29166666666666663,0.4285714285714285,0.0,0.18364197530864196,1
7,Leicester,Brentford,0.15909090909090906,0.6296296296296297,0.5,0.4285714285714285,0.06818181818181816,0.3148148148148148,0
8,Man United,Brighton,0.4545454545454545,0.0,1.0,0.5714285714285713,0.25974025974025966,0.0,1
9,West Ham,Man City,0.2272727272727273,0.5185185185185185,0.9583333333333334,0.0,0.0,0.49691358024691357,1
10,Aston Villa,Everton,0.38636363636363635,0.40740740740740755,0.29166666666666663,0.5000000000000001,0.19318181818181823,0.11882716049382719,-1
11,Arsenal,Leicester,0.8409090909090907,0.5555555555555557,0.7083333333333334,0.8928571428571429,0.7508116883116882,0.39351851851851866,-1
12,Brighton,Newcastle,0.4772727272727273,0.40740740740740755,0.8750000000000001,0.1071428571428572,0.05113636363636367,0.3564814814814817,0
13,Man City,Bournemouth,1.0,0.2592592592592593,0.25,0.9642857142857143,0.9642857142857143,0.06481481481481483,-1
14,Southampton,Leeds,0.06818181818181818,1.0,0.45833333333333337,0.8928571428571429,0.060876623376623376,0.45833333333333337,0
15,Wolves,Fulham,0.06818181818181818,0.37037037037037035,0.5416666666666666,0.2857142857142857,0.019480519480519477,0.20061728395061726,0
16,Brentford,Man United,0.43181818181818177,0.2962962962962963,0.45833333333333337,0.6071428571428571,0.2621753246753246,0.13580246913580246,-1
17,Nott'm Forest,West Ham,0.25,0.5185185185185185,0.20833333333333337,0.5357142857142857,0.13392857142857142,0.1080246913580247,-1
18,Chelsea,Tottenham,0.09090909090909088,0.33333333333333337,0.9166666666666669,0.7857142857142857,0.07142857142857141,0.30555555555555564,0
19,Liverpool,Crystal Palace,0.6818181818181818,0.2592592592592593,0.33333333333333337,0.3571428571428572,0.24350649350649353,0.08641975308641978,0
20,Tottenham,Wolves,0.4772727272727273,0.5555555555555557,0.04166666666666663,0.7857142857142857,0.375,0.023148148148148133,-1
21,Crystal Palace,Aston Villa,0.1136363636363637,0.4814814814814815,0.29166666666666663,0.3214285714285715,0.03652597402597406,0.14043209876543208,-1
22,Everton,Nott'm Forest,0.0,0.6296296296296297,0.0,1.0,0.0,0.0,0
23,Fulham,Brentford,0.34090909090909094,0.7037037037037038,0.5,0.4285714285714285,0.1461038961038961,0.3518518518518519,-1
24,Leicester,Southampton,0.15909090909090906,0.6296296296296297,0.25,0.7142857142857143,0.11363636363636362,0.1574074074074074,1
25,Bournemouth,Arsenal,0.09090909090909088,0.6666666666666666,1.0,0.07142857142857151,0.006493506493506499,0.6666666666666666,1
26,Leeds,Chelsea,0.2272727272727273,1.0,0.29166666666666663,0.4285714285714285,0.0974025974025974,0.29166666666666663,-1
27,West Ham,Brighton,0.2272727272727273,0.5185185185185185,1.0,0.5714285714285713,0.12987012987012986,0.5185185185185185,1
28,Newcastle,Man City,0.4545454545454545,0.14814814814814814,0.9583333333333334,0.0,0.0,0.1419753086419753,0
29,Man United,Liverpool,0.4545454545454545,0.0,0.7500000000000001,0.5000000000000001,0.2272727272727273,0.0,-1
30,Southampton,Man United,0.06818181818181818,1.0,0.45833333333333337,0.6071428571428571,0.04139610389610389,0.45833333333333337,1
31,Brentford,Everton,0.43181818181818177,0.2962962962962963,0.29166666666666663,0.5000000000000001,0.21590909090909094,0.08641975308641973,0
32,Brighton,Leeds,0.4772727272727273,0.40740740740740755,0.45833333333333337,0.8928571428571429,0.4261363636363637,0.18672839506172847,-1
